d_date,fajr_begins,fajr_jamah,sunrise,zuhr_begins,zuhr_jamah,asr_mithl_1,asr_mithl_2,asr_jamah,maghrib_begins,maghrib_jamah,isha_begins,isha_jamah,is_ramadan
2016-01-02,06:19,06:15,07:37,12:24,13:30,14:51,14:51,16:00,17:09,18:20,18:29,20:00,0
2016-01-01,06:19,06:15,07:37,12:23,13:30,14:51,14:51,16:00,17:08,18:20,18:28,20:00,0
2016-01-03,06:19,06:15,07:37,12:24,13:30,14:52,14:52,16:00,17:10,18:20,18:29,20:00,0
2016-01-04,06:19,06:15,07:37,12:25,13:30,14:53,14:53,16:00,17:11,18:20,18:30,20:00,0
2016-01-05,06:19,06:15,07:37,12:25,13:30,14:54,14:54,16:00,17:12,18:20,18:31,20:00,0
2016-01-06,06:19,06:15,07:37,12:25,13:30,14:55,14:55,16:00,17:13,18:20,18:32,20:00,0
2016-01-07,06:19,06:15,07:37,12:26,13:30,14:55,14:55,16:00,17:14,18:20,18:33,20:00,0
2016-01-08,06:19,06:15,07:37,12:26,13:30,14:56,14:56,16:00,17:15,18:20,18:33,20:00,0
2016-01-09,06:19,06:15,07:37,12:27,13:30,14:57,14:57,16:00,17:16,18:20,18:34,20:00,0
2016-01-10,06:19,06:15,07:37,12:27,13:30,14:58,14:58,16:00,17:17,18:20,18:35,20:00,0
2016-01-11,06:19,06:15,07:37,12:28,13:30,14:59,14:59,16:00,17:18,18:20,18:36,20:00,0
2016-01-12,06:19,06:15,07:37,12:28,13:30,14:59,14:59,16:00,17:18,18:20,18:36,20:00,0
2016-01-13,06:19,06:15,07:36,12:28,13:30,15:01,15:01,16:00,17:20,18:20,18:38,20:00,0
2016-01-14,06:18,06:15,07:36,12:29,13:30,15:02,15:02,16:00,17:21,18:20,18:39,20:00,0
2016-01-15,06:18,06:15,07:36,12:29,13:30,15:03,15:03,16:00,17:22,18:20,18:40,20:00,0
2016-01-16,06:18,06:15,07:35,12:29,13:30,15:04,15:04,16:00,17:23,18:20,18:41,20:00,0
2016-01-17,06:18,06:15,07:35,12:30,13:30,15:05,15:05,16:00,17:24,18:20,18:42,20:00,0
2016-01-18,06:17,06:15,07:34,12:30,13:30,15:06,15:06,16:00,17:25,18:20,18:43,20:00,0
2016-01-19,06:17,06:15,07:34,12:30,13:30,15:07,15:07,16:00,17:26,18:20,18:44,20:00,0
2016-01-20,06:17,06:15,07:33,12:31,13:30,15:08,15:08,16:00,17:27,18:20,18:45,20:00,0
2016-01-21,06:16,06:15,07:33,12:31,13:30,15:09,15:09,16:00,17:28,18:20,18:46,20:00,0
2016-01-22,06:16,06:15,07:32,12:31,13:30,15:10,15:10,16:00,17:29,18:20,18:47,20:00,0
2016-01-23,06:15,06:15,07:32,12:31,13:30,15:11,15:11,16:00,17:31,18:20,18:48,20:00,0
2016-01-24,06:15,06:15,07:31,12:32,13:30,15:12,15:12,16:00,17:32,18:20,18:49,20:00,0
2016-01-25,06:14,06:15,07:30,12:32,13:30,15:13,15:13,16:00,17:33,18:20,18:50,20:00,0
2016-01-26,06:14,06:15,07:30,12:32,13:30,15:14,15:14,16:00,17:34,18:20,18:51,20:00,0
2016-01-27,06:13,06:15,07:29,12:32,13:30,15:15,15:15,16:00,17:35,18:20,18:52,20:00,0
2016-01-28,06:12,06:15,07:28,12:33,13:30,15:15,15:15,16:00,17:36,18:20,18:53,20:00,0
2016-01-29,06:12,06:15,07:27,12:33,13:30,15:16,15:16,16:00,17:37,18:20,18:54,20:00,0
2016-01-30,06:11,06:15,07:27,12:33,13:30,15:17,15:17,16:00,17:39,18:20,18:55,20:00,0
2016-01-31,06:10,06:15,07:26,12:33,13:30,15:18,15:18,16:00,17:40,18:20,18:56,20:00,0
2016-02-01,06:10,06:15,07:25,12:33,13:30,15:19,15:19,16:00,17:41,18:20,18:57,20:00,0
2016-02-02,06:09,06:15,07:24,12:33,13:30,15:20,15:20,16:00,17:42,18:20,18:58,20:00,0
2016-02-03,06:08,06:15,07:23,12:33,13:30,15:21,15:21,16:00,17:43,18:20,18:59,20:00,0
2016-02-04,06:07,06:15,07:22,12:34,13:30,15:22,15:22,16:00,17:44,18:20,19:00,20:00,0
2016-02-05,06:06,06:15,07:21,12:34,13:30,15:23,15:23,16:00,17:46,18:20,19:01,20:00,0
2016-02-06,06:05,06:15,07:20,12:34,13:30,15:24,15:24,16:00,17:47,18:20,19:02,20:00,0
2016-02-07,06:04,06:15,07:19,12:34,13:30,15:25,15:25,16:00,17:48,18:20,19:03,20:00,0
2016-02-08,06:04,06:15,07:18,12:34,13:30,15:26,15:26,16:00,17:49,18:20,19:04,20:00,0
